dataset_name,dataset_dir,task_type,n_train,n_val,n_test,n_features,n_classes,accuracy,f1,balanced_accuracy,roc_auc,log_loss,fit_seconds,predict_seconds,status,error,n_train_a,n_train_b,n_holdout_c,n_test_d,ttt_loss,ttt_steps,ttt_lr,ttt_applied,ttt_update_seconds,ttt_split_strategy,ttt_split_reason,ttt_epochs,ttt_chunks_per_epoch,ttt_batch_mode,ttt_val_eval_metric,ttt_val_baseline_metric,ttt_val_best_metric,ttt_val_baseline_accuracy,ttt_val_best_accuracy,ttt_best_epoch,ttt_stopped_early,ttt_oom_fallback,ttt_fallback_reason,model_family,peft_method,peft_targets,peft_trainable_params,peft_trainable_ratio,peft_rank
Amazon_employee_access,/home/crc00006699/zh/tabiclv2/data184/Amazon_employee_access,binclass,26215,5243,6554,7,2,0.9443088190418064,0.9281589165760176,0.568001239144136,0.8260485189022891,0.1710227188226179,41.52785634994507,20.277393579483032,ok,,26215,20972,0,6554,,90,1e-05,True,37.1681649684906,tabpfn_finetune_epoch_chunks,dataset_val_split,30,3,tabpfn_finetuning_api,acc,0.9475491131031852,0.9483120350944116,,,3,True,False,,tabpfnv3,last_layers,tabpfnv3_all,2567808,0.0483096164546729,
BLE_RSSI_dataset_for_Indoor_localization,/home/crc00006699/zh/tabiclv2/data184/BLE_RSSI_dataset_for_Indoor_localization,multiclass,7987,1598,1997,3,3,0.7631447170756134,0.7627870343545379,0.762918966905516,0.9148271692946182,0.549940747148848,9.677412033081056,3.4798946380615234,ok,,7987,6389,0,1997,,30,1e-05,True,9.676803827285768,tabpfn_finetune_epoch_chunks,dataset_val_split,30,1,tabpfn_finetuning_api,acc,0.776595744680851,0.7778473091364205,,,5,True,False,,tabpfnv3,last_layers,tabpfnv3_all,2567808,0.0483096164546729,
BNG(breast-w),/home/crc00006699/zh/tabiclv2/data184/BNG(breast-w),binclass,31492,6299,7874,9,2,0.9886969773939548,0.9887082559509665,0.9884880880018097,0.9992065457474404,0.0323302763672891,37.16337585449219,28.590962409973145,ok,,31492,25193,0,7874,,90,1e-05,True,37.16280484199524,tabpfn_finetune_epoch_chunks,dataset_val_split,30,3,tabpfn_finetuning_api,acc,0.9865057945705668,0.98666454992856,,,2,True,False,,tabpfnv3,last_layers,tabpfnv3_all,2567808,0.0483096164546729,
BNG(cmc),/home/crc00006699/zh/tabiclv2/data184/BNG(cmc),multiclass,44236,8848,11060,9,3,0.5870705244122966,0.5856042698602111,0.5675429759163612,0.7659552540349418,0.8735699429393672,151.72620558738708,51.10653758049011,ok,,44236,35388,0,11060,,120,1e-05,True,151.72572541236875,tabpfn_finetune_epoch_chunks,dataset_val_split,30,4,tabpfn_finetuning_api,acc,0.5774186256781193,0.5785488245931284,,,18,True,False,,tabpfnv3,last_layers,tabpfnv3_all,2567808,0.0483096164546729,
BNG(tic-tac-toe),/home/crc00006699/zh/tabiclv2/data184/BNG(tic-tac-toe),binclass,31492,6299,7874,9,2,0.8171196342392685,0.8143811688857457,0.7853118708120714,0.8830823325221794,0.404783536207447,52.83025050163269,28.534141778945923,ok,,31492,25193,0,7874,,90,1e-05,True,52.82976984977722,tabpfn_finetune_epoch_chunks,dataset_val_split,30,3,tabpfn_finetuning_api,acc,0.8086997936180346,0.8107636132719479,,,5,True,False,,tabpfnv3,last_layers,tabpfnv3_all,2567808,0.0483096164546729,
Bank_Customer_Churn_Dataset,/home/crc00006699/zh/tabiclv2/data184/Bank_Customer_Churn_Dataset,binclass,8000,1600,2000,10,2,0.877,0.8669985153696622,0.7471786115853912,0.8855743262522924,0.3097852372467532,7.804581642150879,3.909696578979492,ok,,8000,6400,0,2000,,30,1e-05,True,7.804203987121582,tabpfn_finetune_epoch_chunks,dataset_val_split,30,1,tabpfn_finetuning_api,acc,0.86875,0.86875,,,0,True,False,,tabpfnv3,last_layers,tabpfnv3_all,2567808,0.0483096164546729,
Basketball_c,/home/crc00006699/zh/tabiclv2/data184/Basketball_c,binclass,1072,215,268,11,2,0.7014925373134329,0.7002842928216062,0.6796598157335223,0.7260807937632884,0.6267796558020113,4.081011295318604,1.6787283420562744,ok,,1072,857,0,268,,30,1e-05,True,4.080563306808472,tabpfn_finetune_epoch_chunks,dataset_val_split,30,1,tabpfn_finetuning_api,acc,0.772093023255814,0.772093023255814,,,0,True,False,,tabpfnv3,last_layers,tabpfnv3_all,2567808,0.0483096164546729,
California-Housing-Classification,/home/crc00006699/zh/tabiclv2/data184/California-Housing-Classification,binclass,16512,3303,4128,8,2,0.9188468992248062,0.9188468849376028,0.9188467628069328,0.9783394501765804,0.1893307381834412,32.03119897842407,10.425629615783691,ok,,16512,13209,0,4128,,60,1e-05,True,32.03066730499268,tabpfn_finetune_epoch_chunks,dataset_val_split,30,2,tabpfn_finetuning_api,acc,0.9140175597941266,0.9155313351498636,,,13,True,False,,tabpfnv3,last_layers,tabpfnv3_all,2567808,0.0483096164546729,
Cardiovascular-Disease-dataset,/home/crc00006699/zh/tabiclv2/data184/Cardiovascular-Disease-dataset,binclass,56000,11200,14000,11,2,0.7340714285714286,0.7336825299299887,0.7340496682611162,0.8005538328339046,0.5429986401227795,111.02194094657898,78.3554425239563,ok,,56000,44800,0,14000,,150,1e-05,True,111.0215654373169,tabpfn_finetune_epoch_chunks,dataset_val_split,30,5,tabpfn_finetuning_api,acc,0.7333928571428572,0.7336607142857143,,,5,True,False,,tabpfnv3,last_layers,tabpfnv3_all,2567808,0.0483096164546729,
Click_prediction_small,/home/crc00006699/zh/tabiclv2/data184/Click_prediction_small,binclass,31958,6392,7990,3,2,0.8335419274092616,0.7630093605389437,0.5100905485783909,0.6269072834263539,0.4382572851426907,30.95430088043213,27.488900661468502,ok,,31958,25566,0,7990,,90,1e-05,True,30.953797817230225,tabpfn_finetune_epoch_chunks,dataset_val_split,30,3,tabpfn_finetuning_api,acc,0.8335419274092616,0.8335419274092616,,,0,True,False,,tabpfnv3,last_layers,tabpfnv3_all,2567808,0.0483096164546729,
