dataset_name,dataset_dir,task_type,n_train,n_val,n_test,n_features,n_classes,accuracy,f1,balanced_accuracy,roc_auc,log_loss,fit_seconds,predict_seconds,status,error,n_train_a,n_train_b,n_holdout_c,n_test_d,ttt_loss,ttt_steps,ttt_lr,ttt_applied,ttt_update_seconds,ttt_split_strategy,ttt_split_reason,ttt_epochs,ttt_chunks_per_epoch,ttt_batch_mode,ttt_val_eval_metric,ttt_val_baseline_metric,ttt_val_best_metric,ttt_val_baseline_accuracy,ttt_val_best_accuracy,ttt_best_epoch,ttt_stopped_early,ttt_oom_fallback,ttt_fallback_reason,peft_method,peft_targets,peft_trainable_params,peft_trainable_ratio,peft_rank,model_family
OpenML-ID-1049,/home/crc00006699/zh/tabiclv2/openml_cc18/OpenML-ID-1049,binclass,1166,234,292,37,2,0.910958904109589,0.9074272635916472,0.7582465277777778,0.9615885416666666,0.1931540264713474,8.743847131729126,0.6889286041259766,ok,,1166,932,0,292,0.1627211347222328,8,1e-05,True,8.626717805862427,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,accuracy,0.9188034188034188,0.9188034188034188,0.9188034188034188,0.9188034188034188,0,True,False,,lora,"col,row,icl",411712.0,0.0147229452756529,4,tabiclv2
OpenML-ID-1050,/home/crc00006699/zh/tabiclv2/openml_cc18/OpenML-ID-1050,binclass,1250,250,313,37,2,0.9009584664536742,0.8713234468060816,0.5571619217081851,0.838967971530249,0.2603769063398282,8.686717510223389,0.7323398590087891,ok,,1250,1000,0,313,0.2238307446241378,8,1e-05,True,8.56706166267395,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,accuracy,0.884,0.884,0.884,0.884,0,True,False,,lora,"col,row,icl",411712.0,0.0147229452756529,4,tabiclv2
OpenML-ID-1053,/home/crc00006699/zh/tabiclv2/openml_cc18/OpenML-ID-1053,binclass,8708,1742,2177,21,2,0.8208543867707855,0.7828413914865334,0.5864771749657773,0.760274917622106,0.4236746722611468,33.370283126831055,3.759392023086548,ok,,8708,6966,0,2177,0.4301665276288986,25,1e-05,True,33.12794327735901,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,accuracy,0.8249138920780712,0.8266360505166476,0.8249138920780712,0.8266360505166476,17,True,False,,lora,"col,row,icl",411712.0,0.0147229452756529,4,tabiclv2
OpenML-ID-1063,/home/crc00006699/zh/tabiclv2/openml_cc18/OpenML-ID-1063,binclass,417,84,105,21,2,0.8285714285714286,0.8134646962233169,0.6744249726177437,0.7620481927710844,0.4731516544880704,3.901771783828736,0.4484021663665771,ok,,417,333,0,105,0.2518881559371948,8,1e-05,True,3.8430237770080566,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,accuracy,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0,True,False,,lora,"col,row,icl",411712.0,0.0147229452756529,4,tabiclv2
OpenML-ID-1067,/home/crc00006699/zh/tabiclv2/openml_cc18/OpenML-ID-1067,binclass,1687,338,422,21,2,0.8720379146919431,0.855423482647913,0.6601163542340013,0.856711915535445,0.3029108468222224,4.765400171279907,0.6707818508148193,ok,,1687,1349,0,422,0.34566530585289,8,1e-05,True,4.678256273269653,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,accuracy,0.878698224852071,0.878698224852071,0.878698224852071,0.878698224852071,0,True,False,,lora,"col,row,icl",411712.0,0.0147229452756529,4,tabiclv2
OpenML-ID-1068,/home/crc00006699/zh/tabiclv2/openml_cc18/OpenML-ID-1068,binclass,887,178,222,21,2,0.945945945945946,0.9366302968198704,0.6618357487922705,0.8974235104669888,0.1535727516485658,4.146779537200928,0.88498854637146,ok,,887,709,0,222,0.1879216879606247,8,1e-05,True,4.077972173690796,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,accuracy,0.9325842696629212,0.9325842696629212,0.9325842696629212,0.9325842696629212,0,True,False,,lora,"col,row,icl",411712.0,0.0147229452756529,4,tabiclv2
OpenML-ID-11,/home/crc00006699/zh/tabiclv2/openml_cc18/OpenML-ID-11,multiclass,500,100,125,4,3,1.0,1.0,1.0,1.0,0.016491332136604,3.24877667427063,0.2497127056121826,ok,,500,400,0,125,0.0824808068573474,8,1e-05,True,3.2228031158447266,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,accuracy,0.96,0.96,0.96,0.96,0,True,False,,lora,"col,row,icl",411712.0,0.0147229452756529,4,tabiclv2
OpenML-ID-12,/home/crc00006699/zh/tabiclv2/openml_cc18/OpenML-ID-12,multiclass,1600,320,400,216,10,0.9825,0.9824984372558212,0.9825,0.9997569444444444,0.0771713910993146,18.61567997932434,3.7564425468444815,ok,,1600,1280,0,400,0.0393484905362129,8,1e-05,True,17.943135738372803,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,accuracy,0.984375,0.984375,0.984375,0.984375,0,True,False,,lora,"col,row,icl",411712.0,0.0147229452756529,4,tabiclv2
OpenML-ID-14,/home/crc00006699/zh/tabiclv2/openml_cc18/OpenML-ID-14,multiclass,1600,320,400,76,10,0.9225,0.9218915524806744,0.9225,0.9951180555555555,0.2059648569634604,15.19044017791748,1.362932205200195,ok,,1600,1280,0,400,0.2539689093828201,15,1e-05,True,14.937056064605711,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,accuracy,0.90625,0.909375,0.90625,0.909375,7,True,False,,lora,"col,row,icl",411712.0,0.0147229452756529,4,tabiclv2
OpenML-ID-1461,/home/crc00006699/zh/tabiclv2/openml_cc18/OpenML-ID-1461,binclass,36168,7234,9043,16,2,0.9131925246046666,0.9096189509855768,0.7528286733277068,0.9393652796536038,0.1907285055388143,52.76335048675537,27.51410484313965,ok,,36168,28934,0,9043,0.2409540638327598,36,1e-05,True,52.22224712371826,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,3,epoch_chunk,accuracy,0.8149018523638374,0.9144318495991152,0.8149018523638374,0.9144318495991152,4,True,False,,lora,"col,row,icl",411712.0,0.0147229452756529,4,tabiclv2
OpenML-ID-1462,/home/crc00006699/zh/tabiclv2/openml_cc18/OpenML-ID-1462,binclass,1097,220,275,4,2,1.0,1.0,1.0,1.0,3.3013067616039645e-06,3.5318520069122314,0.1545543670654297,ok,,1097,877,0,275,0.000241822519456,8,1e-05,True,3.50333309173584,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,accuracy,1.0,1.0,1.0,1.0,0,True,False,,lora,"col,row,icl",411712.0,0.0147229452756529,4,tabiclv2
OpenML-ID-1464,/home/crc00006699/zh/tabiclv2/openml_cc18/OpenML-ID-1464,binclass,598,120,150,4,2,0.7866666666666666,0.7631850117096018,0.631578947368421,0.7948343079922027,0.4477938579630071,4.25820255279541,0.185591459274292,ok,,598,478,0,150,0.4654936045408249,8,1e-05,True,4.23090386390686,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,accuracy,0.8,0.8,0.8,0.8,0,True,False,,lora,"col,row,icl",411712.0,0.0147229452756529,4,tabiclv2
OpenML-ID-1468,/home/crc00006699/zh/tabiclv2/openml_cc18/OpenML-ID-1468,multiclass,864,173,216,856,9,0.949074074074074,0.9489353241553584,0.9490740740740742,0.9979263117283952,0.1899945885697174,44.51038837432861,7.604705095291138,ok,,864,691,0,216,0.1444841921329498,8,1e-05,True,42.39775323867798,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,accuracy,0.9364161849710982,0.9364161849710982,0.9364161849710982,0.9364161849710982,0,True,False,,lora,"col,row,icl",411712.0,0.0147229452756529,4,tabiclv2
OpenML-ID-1475,/home/crc00006699/zh/tabiclv2/openml_cc18/OpenML-ID-1475,multiclass,4894,979,1224,51,6,0.6495098039215687,0.6325786278125882,0.5246621105081134,0.8602267073915737,1.014906029639904,28.953783750534058,3.090673923492432,ok,,4894,3915,0,1224,1.143519639968872,21,1e-05,True,28.61391830444336,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,accuracy,0.6302349336057201,0.6373850868232891,0.6302349336057201,0.6373850868232891,13,True,False,,lora,"col,row,icl",411712.0,0.0147229452756529,4,tabiclv2
OpenML-ID-1478,/home/crc00006699/zh/tabiclv2/openml_cc18/OpenML-ID-1478,multiclass,8239,1648,2060,561,6,0.9980582524271844,0.9980580591258628,0.9981580602986424,0.9999983941486033,0.0040250859735298,25.03502631187439,88.52885437011719,ok,,8239,6591,0,2060,,0,1e-05,False,18.206007480621334,full_train_epoch_chunks,"full train set chunked per epoch | validation=dataset_val_split | FT OOM; used original model parameters for inference: OutOfMemoryError: CUDA out of memory. Tried to allocate 1.78 GiB. GPU 0 has a total capacity of 23.57 GiB of which 1.49 GiB is free. Process 68955 has 22.08 GiB memory in use. Of the allocated memory 20.72 GiB is allocated by PyTorch, and 1.04 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation. See documentation for Memory Management (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",0,0,,,,,,,0,False,True,"FT OOM; used original model parameters for inference: OutOfMemoryError: CUDA out of memory. Tried to allocate 1.78 GiB. GPU 0 has a total capacity of 23.57 GiB of which 1.49 GiB is free. Process 68955 has 22.08 GiB memory in use. Of the allocated memory 20.72 GiB is allocated by PyTorch, and 1.04 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation. See documentation for Memory Management (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",lora,"col,row,icl",,,4,tabiclv2
OpenML-ID-1480,/home/crc00006699/zh/tabiclv2/openml_cc18/OpenML-ID-1480,binclass,466,94,117,10,2,0.6666666666666666,0.6498143664245359,0.5566973777462793,0.7267895109851169,0.5255324632575109,3.465261459350586,0.3556082248687744,ok,,466,372,0,117,0.5774234533309937,8,1e-05,True,3.4353036880493164,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,accuracy,0.7553191489361702,0.7553191489361702,0.7553191489361702,0.7553191489361702,0,True,False,,lora,"col,row,icl",411712.0,0.0147229452756529,4,tabiclv2
OpenML-ID-1485,/home/crc00006699/zh/tabiclv2/openml_cc18/OpenML-ID-1485,binclass,2080,416,520,500,2,0.9115384615384616,0.9115371529164632,0.9115384615384616,0.9651479289940827,0.2440040369929081,8.584330320358276,10.59972333908081,ok,,2080,1664,0,520,,0,1e-05,False,6.182321548461914,full_train_epoch_chunks,"full train set chunked per epoch | validation=dataset_val_split | FT OOM; used original model parameters for inference: OutOfMemoryError: CUDA out of memory. Tried to allocate 410.00 MiB. GPU 0 has a total capacity of 23.57 GiB of which 276.00 MiB is free. Process 68955 has 23.22 GiB memory in use. Of the allocated memory 21.45 GiB is allocated by PyTorch, and 1.43 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation. See documentation for Memory Management (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",0,0,,,,,,,0,False,True,"FT OOM; used original model parameters for inference: OutOfMemoryError: CUDA out of memory. Tried to allocate 410.00 MiB. GPU 0 has a total capacity of 23.57 GiB of which 276.00 MiB is free. Process 68955 has 23.22 GiB memory in use. Of the allocated memory 21.45 GiB is allocated by PyTorch, and 1.43 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation. See documentation for Memory Management (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",lora,"col,row,icl",,,4,tabiclv2
OpenML-ID-1486,/home/crc00006699/zh/tabiclv2/openml_cc18/OpenML-ID-1486,binclass,27572,5515,6893,118,2,0.9747569998549253,0.9748063740596916,0.9710543893385658,0.9969306439082792,0.0640970123217061,10.40843105316162,79.68248867988586,ok,,27572,22057,0,6893,,0,1e-05,False,7.520126104354858,full_train_epoch_chunks,"full train set chunked per epoch | validation=dataset_val_split | FT OOM; used original model parameters for inference: OutOfMemoryError: CUDA out of memory. Tried to allocate 596.00 MiB. GPU 0 has a total capacity of 23.57 GiB of which 290.00 MiB is free. Process 68956 has 23.28 GiB memory in use. Of the allocated memory 21.26 GiB is allocated by PyTorch, and 1.70 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation. See documentation for Memory Management (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",0,0,,,,,,,0,False,True,"FT OOM; used original model parameters for inference: OutOfMemoryError: CUDA out of memory. Tried to allocate 596.00 MiB. GPU 0 has a total capacity of 23.57 GiB of which 290.00 MiB is free. Process 68956 has 23.28 GiB memory in use. Of the allocated memory 21.26 GiB is allocated by PyTorch, and 1.70 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation. See documentation for Memory Management (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",lora,"col,row,icl",,,4,tabiclv2
OpenML-ID-1487,/home/crc00006699/zh/tabiclv2/openml_cc18/OpenML-ID-1487,binclass,2027,406,507,72,2,0.9546351084812624,0.9468295802699368,0.684342105263158,0.9488157894736842,0.1219307974884972,14.59672498703003,1.6171517372131348,ok,,2027,1621,0,507,0.1573654636740684,13,1e-05,True,14.33437180519104,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,accuracy,0.9408866995073892,0.9433497536945812,0.9408866995073892,0.9433497536945812,5,True,False,,lora,"col,row,icl",411712.0,0.0147229452756529,4,tabiclv2
OpenML-ID-1489,/home/crc00006699/zh/tabiclv2/openml_cc18/OpenML-ID-1489,binclass,4323,865,1081,5,2,0.904717853839038,0.9046737498014786,0.8846041092044197,0.9656465225362116,0.2183993914512875,8.91670036315918,0.8329558372497559,ok,,4323,3458,0,1081,0.2002531886100769,14,1e-05,True,8.865321159362793,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,accuracy,0.9260115606936417,0.9271676300578034,0.9260115606936417,0.9271676300578034,6,True,False,,lora,"col,row,icl",411712.0,0.0147229452756529,4,tabiclv2
OpenML-ID-1494,/home/crc00006699/zh/tabiclv2/openml_cc18/OpenML-ID-1494,binclass,844,169,211,41,2,0.8909952606635071,0.8899623050083783,0.8692655935613682,0.945271629778672,0.2755438838597325,5.305464029312134,1.1346359252929688,ok,,844,675,0,211,0.406851053237915,8,1e-05,True,5.190120935440064,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,accuracy,0.8875739644970414,0.8875739644970414,0.8875739644970414,0.8875739644970414,0,True,False,,lora,"col,row,icl",411712.0,0.0147229452756529,4,tabiclv2
OpenML-ID-1497,/home/crc00006699/zh/tabiclv2/openml_cc18/OpenML-ID-1497,multiclass,4364,873,1092,24,4,0.9926739926739928,0.9926729029014852,0.988017934446506,0.9999535857385144,0.015300788436007,7.593436717987059,1.848806858062744,ok,,4364,3491,0,1092,0.0309783136472105,8,1e-05,True,7.428123950958252,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,accuracy,0.986254295532646,0.986254295532646,0.986254295532646,0.986254295532646,0,True,False,,lora,"col,row,icl",411712.0,0.0147229452756529,4,tabiclv2
OpenML-ID-15,/home/crc00006699/zh/tabiclv2/openml_cc18/OpenML-ID-15,binclass,559,112,140,9,2,0.9571428571428572,0.9573446961202065,0.957427536231884,0.9934329710144928,0.109095074780858,5.446667909622192,0.3842737674713135,ok,,559,447,0,140,0.0544822290539741,14,1e-05,True,5.405868053436279,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,accuracy,0.9464285714285714,0.9553571428571428,0.9464285714285714,0.9553571428571428,6,True,False,,lora,"col,row,icl",411712.0,0.0147229452756529,4,tabiclv2
OpenML-ID-1501,/home/crc00006699/zh/tabiclv2/openml_cc18/OpenML-ID-1501,multiclass,1274,255,319,256,10,0.9686520376175548,0.9686948325435536,0.9686491935483872,0.9993351769635208,0.1006382713880348,25.19909977912903,3.827713251113892,ok,,1274,1019,0,319,0.1993050575256347,10,1e-05,True,24.448330402374268,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,accuracy,0.9568627450980391,0.9607843137254902,0.9568627450980391,0.9607843137254902,2,True,False,,lora,"col,row,icl",411712.0,0.0147229452756529,4,tabiclv2
OpenML-ID-151,/home/crc00006699/zh/tabiclv2/openml_cc18/OpenML-ID-151,binclass,36249,7250,9063,8,2,0.9260730442458348,0.9260264691781752,0.9237389197959668,0.9813985375226986,0.1734594157843151,104.95571756362916,25.458174228668213,ok,,36249,28999,0,9063,0.3051559627056122,90,1e-05,True,104.69640827178956,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,3,epoch_chunk,accuracy,0.9136551724137932,0.9184827586206896,0.9136551724137932,0.9184827586206896,24,False,False,,lora,"col,row,icl",411712.0,0.0147229452756529,4,tabiclv2
OpenML-ID-1510,/home/crc00006699/zh/tabiclv2/openml_cc18/OpenML-ID-1510,binclass,455,91,114,30,2,0.9912280701754386,0.991205475258566,0.988095238095238,0.9973544973544972,0.0485935160654211,4.285686492919922,0.6311347484588623,ok,,455,364,0,114,0.0409000143408775,8,1e-05,True,4.202564001083374,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,accuracy,0.956043956043956,0.956043956043956,0.956043956043956,0.956043956043956,0,True,False,,lora,"col,row,icl",411712.0,0.0147229452756529,4,tabiclv2
OpenML-ID-1590,/home/crc00006699/zh/tabiclv2/openml_cc18/OpenML-ID-1590,binclass,39073,7815,9769,14,2,0.8737844201044119,0.8681133908165278,0.7890791172715415,0.9272618613053608,0.2798226803675667,44.77618837356568,30.704574584960938,ok,,39073,31258,0,9769,0.3341099768877029,36,1e-05,True,44.26473569869995,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,4,epoch_chunk,accuracy,0.8715291106845809,0.8737044145873321,0.8715291106845809,0.8737044145873321,1,True,False,,lora,"col,row,icl",411712.0,0.0147229452756529,4,tabiclv2
OpenML-ID-16,/home/crc00006699/zh/tabiclv2/openml_cc18/OpenML-ID-16,multiclass,1600,320,400,64,10,0.975,0.975015727207024,0.975,0.9997013888888888,0.0921634156970051,8.061956882476807,1.2510385513305664,ok,,1600,1280,0,400,0.0442929044365882,8,1e-05,True,7.849964380264282,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,accuracy,0.978125,0.978125,0.978125,0.978125,0,True,False,,lora,"col,row,icl",411712.0,0.0147229452756529,4,tabiclv2
OpenML-ID-18,/home/crc00006699/zh/tabiclv2/openml_cc18/OpenML-ID-18,multiclass,1600,320,400,6,10,0.77,0.7619729916146867,0.7699999999999999,0.974125,0.4926636426892932,3.821204423904419,0.4764831066131592,ok,,1600,1280,0,400,0.7248848080635071,8,1e-05,True,3.782376289367676,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,accuracy,0.74375,0.74375,0.74375,0.74375,0,True,False,,lora,"col,row,icl",411712.0,0.0147229452756529,4,tabiclv2
OpenML-ID-182,/home/crc00006699/zh/tabiclv2/openml_cc18/OpenML-ID-182,multiclass,5144,1029,1286,36,6,0.9416796267496113,0.9403661525823096,0.9237728144634124,0.9965364937329352,0.1381857538439007,10.360509395599363,2.690502166748047,ok,,5144,4115,0,1286,0.2099695429205894,8,1e-05,True,10.08547830581665,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,accuracy,0.93488824101069,0.93488824101069,0.93488824101069,0.93488824101069,0,True,False,,lora,"col,row,icl",411712.0,0.0147229452756529,4,tabiclv2
OpenML-ID-188,/home/crc00006699/zh/tabiclv2/openml_cc18/OpenML-ID-188,multiclass,588,118,148,19,5,0.7297297297297297,0.7293510031712577,0.7103592789639301,0.9403446256906092,0.6066241983299374,3.706770181655884,0.6128110885620117,ok,,588,470,0,148,0.7276417315006256,8,1e-05,True,3.659939765930176,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,accuracy,0.7796610169491526,0.7796610169491526,0.7796610169491526,0.7796610169491526,0,True,False,,lora,"col,row,icl",411712.0,0.0147229452756529,4,tabiclv2
OpenML-ID-22,/home/crc00006699/zh/tabiclv2/openml_cc18/OpenML-ID-22,multiclass,1600,320,400,47,10,0.8975,0.8961952300745445,0.8975,0.9926180555555556,0.220634752435905,9.883783340454102,0.9602541923522948,ok,,1600,1280,0,400,0.2788139283657074,13,1e-05,True,9.711996793746948,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,accuracy,0.865625,0.86875,0.865625,0.86875,5,True,False,,lora,"col,row,icl",411712.0,0.0147229452756529,4,tabiclv2
OpenML-ID-23,/home/crc00006699/zh/tabiclv2/openml_cc18/OpenML-ID-23,multiclass,1178,236,295,9,3,0.6033898305084746,0.603394360896538,0.5784569217405039,0.769222731769628,0.8665615793431031,3.5753173828125,0.4032459259033203,ok,,1178,942,0,295,0.8332947492599487,8,1e-05,True,3.537473201751709,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,accuracy,0.5508474576271186,0.5508474576271186,0.5508474576271186,0.5508474576271186,0,True,False,,lora,"col,row,icl",411712.0,0.0147229452756529,4,tabiclv2
OpenML-ID-23381,/home/crc00006699/zh/tabiclv2/openml_cc18/OpenML-ID-23381,binclass,400,80,100,12,2,0.65,0.612973227974997,0.6030377668308703,0.6547619047619048,0.6433763781856489,5.159887075424194,0.321446418762207,ok,,400,320,0,100,0.6725912094116211,13,1e-05,True,5.120705842971802,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,accuracy,0.6375,0.65,0.6375,0.65,5,True,False,,lora,"col,row,icl",411712.0,0.0147229452756529,4,tabiclv2
OpenML-ID-23517,/home/crc00006699/zh/tabiclv2/openml_cc18/OpenML-ID-23517,binclass,77056,15412,19264,21,2,0.516767026578073,0.5093884832760519,0.5154951913980363,0.5254331452201415,0.6921013895021957,143.97685599327087,106.11932492256165,ok,,77056,61644,0,19264,0.6954271197319031,77,1e-05,True,142.02641701698303,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,7,epoch_chunk,accuracy,0.5226446924474436,0.5241370360757851,0.5226446924474436,0.5241370360757851,3,True,False,,lora,"col,row,icl",411712.0,0.0147229452756529,4,tabiclv2
OpenML-ID-28,/home/crc00006699/zh/tabiclv2/openml_cc18/OpenML-ID-28,multiclass,4496,900,1124,64,10,0.9973309608540926,0.997330908588654,0.9973370927318296,0.9999911977553776,0.0091045604939639,12.073452711105348,3.3369698524475098,ok,,4496,3596,0,1124,0.0209319069981575,8,1e-05,True,11.696758508682253,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,accuracy,0.9933333333333332,0.9933333333333332,0.9933333333333332,0.9933333333333332,0,True,False,,lora,"col,row,icl",411712.0,0.0147229452756529,4,tabiclv2
OpenML-ID-29,/home/crc00006699/zh/tabiclv2/openml_cc18/OpenML-ID-29,binclass,552,111,138,15,2,0.8623188405797102,0.8627190130559621,0.8647008728975942,0.9148392591015542,0.3814237318249065,3.7402946949005127,0.5693182945251465,ok,,552,441,0,138,0.2251720875501632,8,1e-05,True,3.697039842605591,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,accuracy,0.8468468468468469,0.8468468468468469,0.8468468468468469,0.8468468468468469,0,True,False,,lora,"col,row,icl",411712.0,0.0147229452756529,4,tabiclv2
OpenML-ID-3,/home/crc00006699/zh/tabiclv2/openml_cc18/OpenML-ID-3,binclass,2556,512,640,36,2,0.996875,0.996875,0.9968690070838716,0.9999510782356856,0.0083349814928928,9.092110633850098,1.3702077865600586,ok,,2556,2044,0,640,0.017489125020802,12,1e-05,True,8.947256326675415,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,accuracy,0.982421875,0.984375,0.982421875,0.984375,4,True,False,,lora,"col,row,icl",411712.0,0.0147229452756529,4,tabiclv2
OpenML-ID-31,/home/crc00006699/zh/tabiclv2/openml_cc18/OpenML-ID-31,binclass,800,160,200,20,2,0.745,0.7369526151518017,0.6702380952380952,0.7867857142857143,0.4942538931476318,6.210010051727295,0.8102543354034424,ok,,800,640,0,200,0.4542728066444397,13,1e-05,True,6.153895378112793,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,accuracy,0.78125,0.7875,0.78125,0.7875,5,True,False,,lora,"col,row,icl",411712.0,0.0147229452756529,4,tabiclv2
OpenML-ID-32,/home/crc00006699/zh/tabiclv2/openml_cc18/OpenML-ID-32,multiclass,8793,1759,2199,16,10,0.9972714870395636,0.9972742335430836,0.9972309029574288,0.9998063393099016,0.012018639426652,10.359330177307127,3.542067527770996,ok,,8793,7034,0,2199,0.005461863707751,8,1e-05,True,10.1584050655365,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,accuracy,0.9982944855031268,0.9982944855031268,0.9982944855031268,0.9982944855031268,0,True,False,,lora,"col,row,icl",411712.0,0.0147229452756529,4,tabiclv2
