dataset_name,dataset_dir,task_type,n_train,n_val,n_test,n_features,n_classes,accuracy,f1,balanced_accuracy,roc_auc,log_loss,fit_seconds,predict_seconds,status,error
Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-10.0GHz(Urbinati),/home/crc00006699/zh/tabiclv2/data200/Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-10.0GHz(Urbinati),binclass,1920,384,480,30,2,0.9604166666666667,0.9604261207781286,0.9607202447163515,0.9899541156840934,0.12012194469502507,0.0,1.7007746696472168,ok,
Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-11.0GHz(Urbinati),/home/crc00006699/zh/tabiclv2/data200/Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-11.0GHz(Urbinati),binclass,1920,384,480,30,2,0.9479166666666666,0.9479200608232866,0.9479282536151279,0.9863563681868743,0.13973970664070423,0.0,0.6293444633483887,ok,
Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-9.5GHz(Urbinati),/home/crc00006699/zh/tabiclv2/data200/Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-9.5GHz(Urbinati),binclass,1920,384,480,30,2,0.95,0.9500104173900965,0.9507786429365962,0.9874687152391546,0.13561421678320715,0.0,0.6305656433105469,ok,
Insurance,/home/crc00006699/zh/tabiclv2/data200/Insurance,binclass,18838,3768,4710,10,2,0.7575371549893843,0.6530303380048618,0.5,0.5041798620546127,0.5554015417426588,0.0,4.220830678939819,ok,
Is-this-a-good-customer,/home/crc00006699/zh/tabiclv2/data200/Is-this-a-good-customer,binclass,1378,276,345,13,2,0.8840579710144928,0.829654403567447,0.5,0.7389344262295082,0.32540489290505903,0.0,0.2596418857574463,ok,
Long,/home/crc00006699/zh/tabiclv2/data200/Long,binclass,3581,717,896,19,2,0.9966517857142857,0.9966537698883629,0.9964738636642383,0.9999080138347193,0.014011535597291324,0.0,0.8538591861724854,ok,
Shipping,/home/crc00006699/zh/tabiclv2/data200/Shipping,binclass,8799,1760,2200,9,2,0.6895454545454546,0.6783698012511294,0.7337976492672625,0.7337178694084772,0.4988690446909186,0.0,1.371523380279541,ok,
Waterstress,/home/crc00006699/zh/tabiclv2/data200/Waterstress,binclass,950,190,238,22,2,0.726890756302521,0.7269245360481855,0.7267232237539767,0.8177447861435136,0.513620117566341,0.0,0.26608872413635254,ok,
connect-4,/home/crc00006699/zh/tabiclv2/data200/connect-4,multiclass,0,0,0,0,0,,,,,,0.0,0.0,fail,"OutOfMemoryError: CUDA out of memory. Tried to allocate 792.00 MiB. GPU 0 has a total capacity of 23.57 GiB of which 542.69 MiB is free. Process 10627 has 22.56 GiB memory in use. Process 10962 has 484.00 MiB memory in use. Of the allocated memory 157.84 MiB is allocated by PyTorch, and 30.16 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)"
eucalyptus,/home/crc00006699/zh/tabiclv2/data200/eucalyptus,multiclass,588,118,148,19,5,0.7432432432432432,0.7486934292661848,0.7378762064808576,0.943242817002894,0.6005277074493472,0.0,0.21196246147155762,ok,
jasmine,/home/crc00006699/zh/tabiclv2/data200/jasmine,binclass,2387,478,597,144,2,0.8241206030150754,0.8220438749594621,0.8243024847927094,0.8822136427914077,0.3829072665836932,0.0,2.6584126949310303,ok,
law-school-admission-bianry,/home/crc00006699/zh/tabiclv2/data200/law-school-admission-bianry,binclass,16640,3328,4160,11,2,1.0,1.0,1.0,1.0,3.1317318900849463e-06,0.0,3.767554759979248,ok,
philippine,/home/crc00006699/zh/tabiclv2/data200/philippine,binclass,4665,933,1167,308,2,0.8920308483290489,0.891941826144911,0.8920557343922555,0.9620732395028079,0.2560749660784687,0.0,23.352469205856323,ok,
shrutime,/home/crc00006699/zh/tabiclv2/data200/shrutime,binclass,8000,1600,2000,10,2,0.8695,0.8573142688604357,0.7204119874139828,0.8774957790795835,0.3113239874576505,0.0,1.2835347652435303,ok,
