dataset_name,dataset_dir,task_type,n_train,n_val,n_test,n_features,n_classes,accuracy,f1,balanced_accuracy,roc_auc,log_loss,fit_seconds,predict_seconds,status,error
OpenML-ID-1049,/home/crc00006699/zh/tabiclv2/openml_cc18/OpenML-ID-1049,binclass,1166,234,292,37,2,0.910958904109589,0.9074272635916472,0.7582465277777778,0.9615885416666666,0.1931540264713474,0.6181776523590088,0.9954659938812256,ok,
OpenML-ID-1050,/home/crc00006699/zh/tabiclv2/openml_cc18/OpenML-ID-1050,binclass,1250,250,313,37,2,0.9009584664536742,0.8713234468060816,0.5571619217081851,0.838967971530249,0.2603769063398282,0.497974157333374,0.698876142501831,ok,
OpenML-ID-1053,/home/crc00006699/zh/tabiclv2/openml_cc18/OpenML-ID-1053,binclass,8708,1742,2177,21,2,0.8203950390445567,0.785451942593719,0.5925128098301582,0.7635375691893149,0.4212027318395416,0.665581464767456,3.788288593292236,ok,
OpenML-ID-1063,/home/crc00006699/zh/tabiclv2/openml_cc18/OpenML-ID-1063,binclass,417,84,105,21,2,0.8285714285714286,0.8134646962233169,0.6744249726177437,0.7620481927710844,0.4731516608292996,0.4262943267822265,0.5613808631896973,ok,
OpenML-ID-1067,/home/crc00006699/zh/tabiclv2/openml_cc18/OpenML-ID-1067,binclass,1687,338,422,21,2,0.8720379146919431,0.855423482647913,0.6601163542340013,0.856711915535445,0.3029108468222224,0.4419412612915039,0.7431979179382324,ok,
OpenML-ID-1068,/home/crc00006699/zh/tabiclv2/openml_cc18/OpenML-ID-1068,binclass,887,178,222,21,2,0.945945945945946,0.9366302968198704,0.6618357487922705,0.8974235104669888,0.1535727516485658,0.3882246017456054,0.8698194026947021,ok,
OpenML-ID-11,/home/crc00006699/zh/tabiclv2/openml_cc18/OpenML-ID-11,multiclass,500,100,125,4,3,1.0,1.0,1.0,1.0,0.016491322183152,0.3499238491058349,0.2665908336639404,ok,
OpenML-ID-12,/home/crc00006699/zh/tabiclv2/openml_cc18/OpenML-ID-12,multiclass,1600,320,400,216,10,0.9825,0.9824984372558212,0.9825,0.9997569444444444,0.0771916156488073,1.0005464553833008,3.729856252670288,ok,
OpenML-ID-14,/home/crc00006699/zh/tabiclv2/openml_cc18/OpenML-ID-14,multiclass,1600,320,400,76,10,0.9225,0.9218915524806744,0.9225,0.9951111111111112,0.2060284568175354,0.5818963050842285,1.399719476699829,ok,
OpenML-ID-1461,/home/crc00006699/zh/tabiclv2/openml_cc18/OpenML-ID-1461,binclass,36168,7234,9043,16,2,0.9124184452062368,0.9088790894158952,0.7515704067053892,0.9392872742251837,0.1905931538378488,0.8633265495300293,26.983324766159058,ok,
OpenML-ID-1462,/home/crc00006699/zh/tabiclv2/openml_cc18/OpenML-ID-1462,binclass,1097,220,275,4,2,1.0,1.0,1.0,1.0,3.3013067616039645e-06,0.3881933689117431,0.2539718151092529,ok,
OpenML-ID-1464,/home/crc00006699/zh/tabiclv2/openml_cc18/OpenML-ID-1464,binclass,598,120,150,4,2,0.7866666666666666,0.7631850117096018,0.631578947368421,0.7948343079922027,0.4477938613246934,0.3514585494995117,0.2035388946533203,ok,
OpenML-ID-1468,/home/crc00006699/zh/tabiclv2/openml_cc18/OpenML-ID-1468,multiclass,864,173,216,856,9,0.949074074074074,0.9489353241553584,0.9490740740740742,0.9979263117283952,0.1899945885697174,2.387526035308838,7.488210439682007,ok,
OpenML-ID-1475,/home/crc00006699/zh/tabiclv2/openml_cc18/OpenML-ID-1475,multiclass,4894,979,1224,51,6,0.6503267973856209,0.6332808316132705,0.5247660461462956,0.8600971082508552,1.014996033501114,0.6470322608947754,3.119182825088501,ok,
OpenML-ID-1478,/home/crc00006699/zh/tabiclv2/openml_cc18/OpenML-ID-1478,multiclass,8239,1648,2060,561,6,0.9980582524271844,0.9980580591258628,0.9981580602986424,0.9999983941486033,0.0040250859735298,6.626410961151123,103.78951978683472,ok,
OpenML-ID-1480,/home/crc00006699/zh/tabiclv2/openml_cc18/OpenML-ID-1480,binclass,466,94,117,10,2,0.6666666666666666,0.6498143664245359,0.5566973777462793,0.7267895109851169,0.5255324632575109,0.3934528827667236,0.4353935718536377,ok,
OpenML-ID-1485,/home/crc00006699/zh/tabiclv2/openml_cc18/OpenML-ID-1485,binclass,2080,416,520,500,2,0.9115384615384616,0.9115371529164632,0.9115384615384616,0.9651479289940827,0.2440040369929081,2.1768929958343506,10.313519477844238,ok,
OpenML-ID-1486,/home/crc00006699/zh/tabiclv2/openml_cc18/OpenML-ID-1486,binclass,27572,5515,6893,118,2,0.9747569998549253,0.9748063740596916,0.9710543893385658,0.9969306439082792,0.0640970123217061,2.721010446548462,83.18458676338196,ok,
OpenML-ID-1487,/home/crc00006699/zh/tabiclv2/openml_cc18/OpenML-ID-1487,binclass,2027,406,507,72,2,0.9546351084812624,0.9468295802699368,0.684342105263158,0.9488815789473684,0.1218641361736843,0.6000797748565674,1.6952216625213623,ok,
OpenML-ID-1489,/home/crc00006699/zh/tabiclv2/openml_cc18/OpenML-ID-1489,binclass,4323,865,1081,5,2,0.9037927844588344,0.9037927844588344,0.8839496589426397,0.9656485870480784,0.2184456203048236,0.3980107307434082,0.9258584976196288,ok,
OpenML-ID-1494,/home/crc00006699/zh/tabiclv2/openml_cc18/OpenML-ID-1494,binclass,844,169,211,41,2,0.8909952606635071,0.8899623050083783,0.8692655935613682,0.945271629778672,0.2755438501464008,0.5216495990753174,1.207484245300293,ok,
OpenML-ID-1497,/home/crc00006699/zh/tabiclv2/openml_cc18/OpenML-ID-1497,multiclass,4364,873,1092,24,4,0.9926739926739928,0.9926729029014852,0.988017934446506,0.9999535857385144,0.015300788436007,0.5917186737060547,1.8613591194152832,ok,
OpenML-ID-15,/home/crc00006699/zh/tabiclv2/openml_cc18/OpenML-ID-15,binclass,559,112,140,9,2,0.9571428571428572,0.9573446961202065,0.957427536231884,0.9932065217391304,0.1089099631287705,0.3920471668243408,0.4939095973968506,ok,
OpenML-ID-1501,/home/crc00006699/zh/tabiclv2/openml_cc18/OpenML-ID-1501,multiclass,1274,255,319,256,10,0.9686520376175548,0.9686948325435536,0.9686491935483872,0.999346065465263,0.1002595384313155,1.0586252212524414,3.567766666412353,ok,
OpenML-ID-151,/home/crc00006699/zh/tabiclv2/openml_cc18/OpenML-ID-151,binclass,36249,7250,9063,8,2,0.9261833829857664,0.9261355498694536,0.923834797073052,0.9807697789241412,0.1763309553096209,0.6068985462188721,25.222880125045776,ok,
OpenML-ID-1510,/home/crc00006699/zh/tabiclv2/openml_cc18/OpenML-ID-1510,binclass,455,91,114,30,2,0.9912280701754386,0.991205475258566,0.988095238095238,0.9973544973544972,0.0485935160654211,0.4238274097442627,0.6768548488616943,ok,
OpenML-ID-1590,/home/crc00006699/zh/tabiclv2/openml_cc18/OpenML-ID-1590,binclass,39073,7815,9769,14,2,0.8736820554816256,0.8687626175871563,0.7932624283700895,0.9274455299562936,0.2789664648368384,0.8392848968505859,30.499714851379395,ok,
OpenML-ID-16,/home/crc00006699/zh/tabiclv2/openml_cc18/OpenML-ID-16,multiclass,1600,320,400,64,10,0.975,0.975015727207024,0.975,0.9997013888888888,0.0921634156970051,0.5922567844390869,1.3712148666381836,ok,
OpenML-ID-18,/home/crc00006699/zh/tabiclv2/openml_cc18/OpenML-ID-18,multiclass,1600,320,400,6,10,0.77,0.7619729916146867,0.7699999999999999,0.974125,0.4926636426892932,0.3665199279785156,0.5307493209838867,ok,
OpenML-ID-182,/home/crc00006699/zh/tabiclv2/openml_cc18/OpenML-ID-182,multiclass,5144,1029,1286,36,6,0.9416796267496113,0.9403661525823096,0.9237728144634124,0.9965364937329352,0.1381857538439007,0.6021080017089844,2.6192989349365234,ok,
OpenML-ID-188,/home/crc00006699/zh/tabiclv2/openml_cc18/OpenML-ID-188,multiclass,588,118,148,19,5,0.7297297297297297,0.7293510031712577,0.7103592789639301,0.9403446256906092,0.6066242411953016,0.383620023727417,0.6566569805145264,ok,
OpenML-ID-22,/home/crc00006699/zh/tabiclv2/openml_cc18/OpenML-ID-22,multiclass,1600,320,400,47,10,0.8975,0.8961952300745445,0.8975,0.9925625,0.2206671343361195,0.5000834465026855,1.022472620010376,ok,
OpenML-ID-23,/home/crc00006699/zh/tabiclv2/openml_cc18/OpenML-ID-23,multiclass,1178,236,295,9,3,0.6033898305084746,0.603394360896538,0.5784569217405039,0.769222731769628,0.8665615793431031,0.3657393455505371,0.4508106708526611,ok,
OpenML-ID-23381,/home/crc00006699/zh/tabiclv2/openml_cc18/OpenML-ID-23381,binclass,400,80,100,12,2,0.65,0.612973227974997,0.6030377668308703,0.6564039408866995,0.6433346090849171,0.3749518394470215,0.3816771507263183,ok,
OpenML-ID-23517,/home/crc00006699/zh/tabiclv2/openml_cc18/OpenML-ID-23517,binclass,77056,15412,19264,21,2,0.5172861295681063,0.5102045484160451,0.5160391440672982,0.5256942392674236,0.6920968761856544,2.2443130016326904,108.01673030853271,ok,
OpenML-ID-28,/home/crc00006699/zh/tabiclv2/openml_cc18/OpenML-ID-28,multiclass,4496,900,1124,64,10,0.9973309608540926,0.997330908588654,0.9973370927318296,0.9999911977553776,0.0091045604939639,1.0343711376190186,3.3700356483459477,ok,
OpenML-ID-29,/home/crc00006699/zh/tabiclv2/openml_cc18/OpenML-ID-29,binclass,552,111,138,15,2,0.8623188405797102,0.8627190130559621,0.8647008728975942,0.9148392591015542,0.3814237921000667,0.3878664970397949,0.5926270484924316,ok,
OpenML-ID-3,/home/crc00006699/zh/tabiclv2/openml_cc18/OpenML-ID-3,binclass,2556,512,640,36,2,0.996875,0.996875,0.9968690070838716,0.9999510782356856,0.0083223836828101,0.4711005687713623,1.3285508155822754,ok,
OpenML-ID-31,/home/crc00006699/zh/tabiclv2/openml_cc18/OpenML-ID-31,binclass,800,160,200,20,2,0.75,0.741248097412481,0.6738095238095239,0.7867857142857143,0.494142133883371,0.3870093822479248,0.8290731906890869,ok,
OpenML-ID-32,/home/crc00006699/zh/tabiclv2/openml_cc18/OpenML-ID-32,multiclass,8793,1759,2199,16,10,0.9972714870395636,0.9972742335430836,0.9972309029574288,0.9998063393099016,0.012018639426652,0.5408434867858887,3.511370897293091,ok,
OpenML-ID-37,/home/crc00006699/zh/tabiclv2/openml_cc18/OpenML-ID-37,binclass,614,123,154,8,2,0.7272727272727273,0.7232230932973366,0.6877777777777778,0.8131481481481481,0.5093033080677234,0.3810539245605469,0.5366673469543457,ok,
OpenML-ID-38,/home/crc00006699/zh/tabiclv2/openml_cc18/OpenML-ID-38,binclass,3017,604,755,29,2,0.9933774834437086,0.993272858689188,0.9558165205126632,0.9994174280983628,0.0168651316793657,0.4350712299346924,1.3298780918121338,ok,
OpenML-ID-40668,/home/crc00006699/zh/tabiclv2/openml_cc18/OpenML-ID-40668,multiclass,54045,10809,13512,42,3,0.8618265245707519,0.8492485307108004,0.6942575681433455,0.9453068887070984,0.3395690654141798,2.387935876846313,97.54648232460022,ok,
OpenML-ID-40670,/home/crc00006699/zh/tabiclv2/openml_cc18/OpenML-ID-40670,multiclass,2548,510,638,180,3,0.9717868338557992,0.9719225529564052,0.9714135951918074,0.997980097351232,0.078726645084531,1.0206444263458252,5.419464349746704,ok,
OpenML-ID-40701,/home/crc00006699/zh/tabiclv2/openml_cc18/OpenML-ID-40701,binclass,4000,800,1000,20,2,0.967,0.9656316025636732,0.8948348318595761,0.93249201198821,0.1216297955624061,0.8151555061340332,1.63208270072937,ok,
OpenML-ID-40927,/home/crc00006699/zh/tabiclv2/openml_cc18/OpenML-ID-40927,multiclass,0,0,0,0,0,,,,,,0.0,0.0,fail,"OutOfMemoryError: CUDA out of memory. Tried to allocate 5.49 GiB. GPU 0 has a total capacity of 23.57 GiB of which 954.69 MiB is free. Process 33793 has 254.00 MiB memory in use. Process 34791 has 22.38 GiB memory in use. Of the allocated memory 22.08 GiB is allocated by PyTorch, and 11.88 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)"
OpenML-ID-40966,/home/crc00006699/zh/tabiclv2/openml_cc18/OpenML-ID-40966,multiclass,864,173,216,77,8,1.0,1.0,1.0,1.0,5.461549255884504e-06,0.5469849109649658,0.748070478439331,ok,
OpenML-ID-40975,/home/crc00006699/zh/tabiclv2/openml_cc18/OpenML-ID-40975,multiclass,1382,277,346,6,4,1.0,1.0,1.0,1.0,0.0107111145296583,0.3603975772857666,0.4830384254455566,ok,
